main,middle,type,career,education,region,title,company,deadline,notice
미디어·문화·스포츠,"
, 데이터분석가, 데이터마이닝, 데이터시각화, 머신러닝, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 데이터 분석 담당자 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-20,2022-06-08
미디어·문화·스포츠,"
, 광고영업, 인플루언서, AE(광고기획자), 뉴미디어, 미디어플래너,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 퍼포먼스마케터 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-17,2022-06-08
미디어·문화·스포츠,"
, AE(광고기획자), 미디어플래너, 마케팅기획, 마케팅전략, 광고마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[ 미디어 플래너 팀장, 팀원 - 유명 디지털 광고대행사]",(주)피너클써치,2022-06-20,2022-06-08
미디어·문화·스포츠,"
, 광고영업, AE(광고기획자), 뉴미디어, 미디어플래너, 스토리텔링,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,"[미디어 플래너 팀장, 팀원 - 유명 미디어렙사 ]",(주)피너클써치,2022-06-13,2022-06-01
미디어·문화·스포츠,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 체험마케팅,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[퍼포먼스 마케팅 팀장, 팀원 - 유명 광고대행사]",(주)피너클써치,2022-06-13,2022-06-03
미디어·문화·스포츠,"
, SNS, AE(광고기획자), 미디어플래너, 유튜브, CF광고,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[  IMC 마케팅, 경력 2-7년 - 유명 광고대행사 ]",(주)피너클써치,2022-06-20,2022-06-08
미디어·문화·스포츠,"
, 소셜커머스, 오픈마켓, 이커머스, SNS, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[ 이커머스 캠페인 경력 2-12년, 유명 광고대행사 ]",(주)피너클써치,2022-06-17,2022-06-08
미디어·문화·스포츠,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 종로구,"[ 제약 헬스케어 PR  신입 및 경력직, 홍보대행사 ]",(주)피너클써치,2022-06-17,2022-06-09
미디어·문화·스포츠,"
, 문서작성, 통/번역, AE(광고기획자), CW(카피라이터), 영어,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(신입/경력) 광고기획/AE(영어). 아트디렉터 -아시아권/디지털-,(주)프로매치코리아,2022-06-24,2022-06-06
미디어·문화·스포츠,"
, AD(아트디렉터), AE(광고기획자), CW(카피라이터), 마케팅기획, 마케팅전략,  외            ",정규직,7 ~ 15년,대학교(4년) 이상,서울 강남구,미디어플래너/매체기획 (본부장/팀장급-디지털),(주)프로매치코리아,2022-06-24,2022-06-06
미디어·문화·스포츠,"
, 영상제작, 유튜브, 기업홍보, 언론홍보, 홍보,  외            ",정규직,3 ~ 5년,대학교(4년) 이상,경기 성남시 분당구,중견그룹 지주회사 대외협력팀원,커리어커넥트(주),2022-06-28,2022-05-29
미디어·문화·스포츠,"
, 스포츠에이전트, 스포츠마케팅, IMC, 골프, 마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,스포츠마케팅 팀장(골프) 구함,굿커리어,2022-07-08,2022-06-04
미디어·문화·스포츠,"
, 에디터, 크리에이터, 컨텐츠,  ",정규직,경력 1년 이상,"대학(2,3년) 이상",서울 강남구,[유명 와인 유통기업] 컨텐츠 에디터,굿커리어,2022-07-10,2022-06-04
미디어·문화·스포츠,"
, AE(광고기획자), 블로그마케팅, SNS마케팅, 콘텐츠기획, 디지털마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[대기업계열사/글로벌마케팅대행사] 소셜채널 운영 AE,(주)탑앤스카우트,2022-07-10,2022-06-03
