company,career,education,region,reg,deadline,type,title,job,tag
(주)매스씨앤지,신입 · 경력,대학교(4년) 이상,서울 강서구,2022-06-09,2022-06-30,정규직 · 계약직,브랜드 전략기획 신입/경력 채용,"
, AE(광고기획자), 마케팅기획, 마케팅전략, 콘텐츠기획, AE(광고기획자),  외            ",기획·전략
(주)신호테크,경력무관,"대학(2,3년) 이상",경북 경산시,2022-06-08,2022-07-07,정규직,품질팀 경력직 및 현장직채용,"
, 품질관리, 품질,  ",기획·전략
(주)에스앤디컴퍼니,신입 · 경력,"대학(2,3년) 이상",경기 고양시 덕양구,2022-06-08,2022-06-19,정규직,전산시스템 웹 관리운영(전화상담 등) 및 부동산어플개발기획,"
, 자료입력, 전화응대, 특허관리, 정보처리, 서비스기획,  외            ",기획·전략
한영회계법인,신입,대학교(4년) 이상,서울 영등포구,2022-06-04,2022-06-17,인턴직,[EY한영] 전략·재무자문본부 금융기관 대출채권팀 인턴 모집,"
, 데이터분석, 시장조사, 재무, AICPA, KICPA,  ",기획·전략
(주)트랜스코스모스코리아,경력 2년↑,대학교(4년) 이상,서울 영등포구,2022-05-14,2022-06-19,정규직,[TCK/교육사업본부] 본사 사내교육/기획 담당자 채용 MCg6,"
, 교육행정, 문서작성, 사무보조, 사무행정, 서류관리,  외            ",기획·전략
(주)엠엘에스,2 ~ 5년,"대학(2,3년) 이상",인천 남동구,2022-06-08,2022-06-14,정규직,인사 / 총무 경력사원 모집(주임급),"
, 연말정산, 원천세신고, 총무, 경영지원, ER(노무관리),  외            ",기획·전략
한영회계법인,신입,대학교(4년) 이상,서울 영등포구,2022-06-04,2022-06-17,인턴직,[EY한영] 금융컨설팅본부 Cyber Security(정보보안) 인턴 모집,"
, 정보보안, 컨설턴트, 금융컨설팅,  ",기획·전략
(주)컬쳐원,2 ~ 7년,대학교(4년) 이상,서울 서초구,2022-06-05,2022-06-17,정규직,"문화행사(축제, 엑스포 등) BTL 기획 운영 분야 경력 직원 모집","
, 마케팅기획, 행사기획, 콘텐츠기획, 기업홍보, 온라인마케팅,  외            ",기획·전략
(주)지아이티,신입 · 경력,학력무관,서울 송파구,2022-06-01,2022-06-15,인턴직,현대자동차 그룹사 (주)지아이티 상반기 대규모 공채/수시 채용 (경력/신입),"
, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터,  외            ",기획·전략
(주)플랫타이엑스,경력무관,학력무관,서울 서초구,2022-05-03,채용시,정규직,[플랫타익스체인지] 서비스기획자( 웹기획/앱기획) 경력직 채용,"
, 서비스기획, 앱기획, 웹기획, PL(프로젝트리더), PM(프로젝트매니저),  외            ",기획·전략
(주)에이드커뮤니케이션,신입 · 경력,"대학(2,3년) 이상",경기 파주시,2022-06-01,2022-06-30,정규직,"마케팅 / 커뮤니케이션 (AE, CD, 기획) 모십니다.","
, 행사기획, 콘텐츠기획, AE(광고기획자), CD(크리에이티브디렉터), IMC,  외            ",기획·전략
라이즈 세종,신입 · 경력,대학교(4년) 이상,세종 세종특별자치시,2022-04-24,2022-06-22,정규직,라이즈 세종 2022년도 담임 교사 모십니다,"
, 교육기획, 교육운영, 교육컨텐츠기획,  ",기획·전략
(주)엠앤제이코퍼레이션,경력무관,학력무관,부산 남구,2022-05-24,2022-06-22,정규직,SNS 운영 및 컨텐츠 제작 / 인플루언서 업무,"
, 인플루언서, 영상제작, 영상편집, 유튜브, 인플루언서마케팅,  외            ",기획·전략
(주)예지씨앤씨,경력무관,학력무관,서울 금천구,2022-05-30,2022-06-13,정규직,[워라밸 보장] 온라인 광고 마케터 AE 정규직,"
, 영업관리, 광고영업, 고객관리, 매체영업, 마케팅기획,  외            ",기획·전략
(주)예지씨앤씨,경력무관,학력무관,서울 금천구,2022-05-30,2022-06-13,정규직,[주 35시간] 디지털 퍼포먼스 마케터  AE 정규직,"
, 영업관리, 광고영업, 고객관리, 매체영업, 마케팅기획,  외            ",기획·전략
마인성형외과,신입 · 경력,학력무관,서울 강남구,2022-05-20,2022-06-18,정규직,[마인성형외과] 병원 마케팅(기획) 신입 경력직 모집합니다.,"
, 사이트관리, 콘텐츠관리, 성형외과, 피부과, 브랜딩,  외            ",기획·전략
(주)예지씨앤씨,경력무관,학력무관,서울 금천구,2022-05-30,2022-06-13,정규직,[강소기업] 온라인 광고 마케팅 영업 및 관리 신입/경력,"
, 광고영업, 매체영업, 마케팅기획, 마케팅전략, 광고마케팅,  외            ",기획·전략
제철밥상,경력무관,학력무관,대전 서구,2022-06-04,2022-06-25,정규직,SNS 컨텐츠 관리 (에디터)담당 직원 채용,"
, SNS, 마케팅기획, 콘텐츠에디터, 마케팅기획, 기획,  ",기획·전략
엔에이치엔(주),신입 · 경력,학력무관,경기 성남시 분당구,2022-05-26,2022-06-14,정규직,NHN BIGFOOT 게임부문 신입·경력 대규모채용,"
, 게임개발, 게임기획, 블록체인, Android, Unity,  외            ",기획·전략
(주)크리에이저,신입 · 경력,"대학(2,3년) 이상",서울 영등포구,2022-06-03,2022-07-02,정규직,온라인/SNS/바이럴 마케팅ㆍ콘텐츠 마케터 채용(신입/경력),"
, 사이트관리, 콘텐츠관리, 마케팅기획, 마케팅전략, 콘텐츠기획,  외            ",기획·전략
달서미즈맘병원,경력무관,대학교(4년) 이상,대구 달서구,2022-05-24,2022-06-22,정규직,병동간호사 경력무관 채용(정규직),"
, 간호사, 병동간호사,  ",기획·전략
(주)사람인에이치알,경력 3년↑,대학교(4년) 이상,서울 구로구,2022-05-26,2022-07-03,정규직,[사람인NX팀] 커뮤니티 서비스 기획자,"
, 콘텐츠관리, 커뮤니티매니저, 브랜드기획, SNS, 블로그마케팅,  외            ",기획·전략
LSCS 그룹,경력 3년↑,학력무관,대구 중구,2022-05-26,2022-06-25,정규직,온라인사업부 팀원을 모집합니다,"
, 매출관리, 쇼핑몰관리, 상품관리, 소셜커머스, 쇼핑몰,  외            ",기획·전략
㈜아이디어키,신입,"대학(2,3년) 이상",서울 강남구,2022-06-01,2022-06-30,정규직,[네이버/카카오 공식대행사] 디지털 광고영업 AE 채용,"
, 영업관리, 광고영업, 영업마케팅, 영업전략, 거래처영업,  외            ",기획·전략
(주)쇼엠,경력무관,학력무관,인천 연수구,2022-05-12,2022-07-10,정규직,[(주) 쇼엠] 일반 사무직 (부문 별 채용),"
, 사무직, 총무, 문서작성, 비품관리, 사무보조,  외            ",기획·전략
(주)트랜스코스모스코리아,경력무관,학력무관,서울 중구,2022-06-03,2022-06-13,정규직,SNS영상 모니터링센터 STAFF (통번역/강사) 채용 MHd9,"
, 사무직, 교육행정, 사무보조, 서류관리, 자료입력,  외            ",기획·전략
(주)트랜스코스모스코리아,경력 1년↑,학력무관,부산 중구,2022-05-28,2022-06-26,정규직,"[TCK] SNS영상 모니터링센터 운영관리(TL,QA) 채용 MQf6","
, 사무직, 교육행정, 사무보조, 서류관리, 자료입력,  외            ",기획·전략
주식회사 하카코리아,경력무관,학력무관,부산 사상구,2022-04-28,채용시,정규직 · 계약직,[부산] 하카 전자담배 직영점  매장관리 및 판매직 채용,"
, 판매직, 매장관리, 진열관리, 지점관리자, 재고관리,  ",기획·전략
글로벌마씸(주),경력무관,고졸 이상,제주 제주시,2022-05-26,2022-07-24,정규직,(주)글로벌마씸 경영지원팀 인재 채용,"
, 거래처납품, 재고관리, 경영관리, 매출관리,  ",기획·전략
(주)캉카스백화점,경력,학력무관,서울 강남구,2021-04-09,2022-06-30,정규직,"[(주)캉카스백화점] 이미지 보정 ,누끼, 전문 경력자 채용","
, 포토그래퍼, 웹디자인, 일러스트레이터, PhotoShop, 프로토타이핑,  ",기획·전략
(주)대림,경력,대학교(4년) 이상,서울 종로구,2022-04-15,2022-06-30,정규직,(주)대림 경력사원 채용,"
, 데이터분석가, 유지보수, SE(시스템엔지니어), 머신러닝, 클라우드,  외            ",기획·전략
한국기술교육직업전문학교,경력무관,학력무관,부산 동래구,2022-03-01,2022-02-27,교육생,[전액국비] 2022년도 4차산업 IT전문인력 취업연계교육,"
, 게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발,  외            ",기획·전략
(주)DYB최선어학원,신입 · 경력,대학교(4년) 이상,서울 강남구,2022-05-20,2022-07-21,정규직,[직영] DYB최선어학원 각 부문 STAFF 모집,"
, Ajax, AWS, HTML, HTML5, Java,  외            ",기획·전략
(주)알피바이오,신입 · 경력,학력무관,서울 강남구,2022-05-21,2022-06-21,정규직 · 계약직,알피바이오 신입/경력 채용,"
, IT컨설팅, 세무사, 전산회계, 회계사, 관리회계,  외            ",기획·전략
(주)솔루션링크,신입 · 경력,대학교(4년) 이상,서울 서초구,2022-06-03,2022-06-30,정규직,[소프트웨어 공학 전문] 부문 별 컨설팅 전문가 채용,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발,  외            ",기획·전략
(주)모스크리에이티브,신입 · 경력,대학교(4년) 이상,서울 강남구,2022-06-04,2022-06-12,정규직 · 인턴직,MOSS CREATIVE 디자인팀/광고기획팀 채용공고,"
, HTML, Javascript, XML, 문서작성, OA,  외            ",기획·전략
(주)이든앤앨리스마케팅,경력,학력무관,서울 강남구,2022-06-08,2022-06-30,정규직,[이든앤앨리스마케팅] 마케팅 AE 경력직 채용,"
, 기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터,  외            ",기획·전략
(주)유브릿지,신입 · 경력,대학교(4년) 이상,서울 영등포구,2022-06-04,2022-07-03,정규직,상품 및 서비스 기획 신입/경력 채용,"
, 기획MD, 브랜드기획, 기술기획, 브랜드기획, 상품기획,  외            ",기획·전략
(주) 에스와이골프,신입 · 경력,고졸 이상,인천 서구,2022-06-04,2022-06-17,정규직,[인천] 경영관리/고객관리/회계外 경력&신입 채용,"
, 경영지원, 고객관리, 회계, 경영관리, 경리,  ",기획·전략
(주)마이벨로,신입 · 경력,학력무관,전남 순천시,2022-06-09,2022-07-08,정규직,상품개발 정규직 신입 및 경력 사원 모집,"
, 상품기획,  ",기획·전략
(주) KECM,신입 · 경력,대학교(4년) 이상,서울 성동구,2022-05-21,2022-07-19,정규직,온실가스 및 에너지 분야 컨설팅,"
, 컨설턴트, 타당성검토,  ",기획·전략
(주)가이스트리히코리아,3 ~ 10년,대학교(4년) 이상,서울 서초구,2022-06-03,2022-06-30,정규직,(주)가이스트리히코리아 마케팅 디자이너 채용,"
, 유튜브, 디지털마케팅, 카드뉴스, 마케팅, 기획,  외            ",기획·전략
(주)트랜스코스모스코리아,경력 2년↑,학력무관,서울 중구,2022-05-17,2022-06-15,정규직,[TCK]  글로벌 고객센터 운영관리 Trainer (경력/영어) MDp2,"
, 사무직, 교육행정, 사무보조, 콘텐츠관리, OA,  외            ",기획·전략
(주)에스아이알소프트,신입 · 경력,학력무관,서울 강남구,2022-04-30,채용시,정규직 · 계약직,"웹/앱 개발자, 기획자, 디자이너, 퍼블리셔 신입/경력 채용","
, 백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드,  외            ",기획·전략
(주)트랜스코스모스코리아,경력 5년↑,학력무관,서울 영등포구,2022-05-19,2022-06-17,정규직,[TCK] 당사 ITO사업본부 IT기획 경력자 모집 (여의도) Mt2F,"
, SI개발, 기술영업, 영업관리, 영업지원, 네트워크영업,  외            ",기획·전략
(주)트랜스코스모스코리아,경력 5년↑,학력무관,서울 영등포구,2022-06-02,2022-06-17,정규직,[트랜스코스모스 ITO사업본부 IT기획 경력자 모집 (여의도)Mt2F,"
, SI개발, 기술영업, 영업관리, 영업지원, 네트워크영업,  외            ",기획·전략
LSCS 그룹,경력 2년↑,학력무관,대구 중구,2022-05-26,2022-06-25,정규직 · 파트,[홍보마케팅팀] 브랜드 홍보/마케팅기획업무 직원 모집,"
, 팝업스토어관리, SNS, 마케팅기획, 블로그마케팅, 인플루언서마케팅,  외            ",기획·전략
데브시스터즈(주),경력무관,학력무관,서울 강남구,2022-06-04,채용시,정규직,[데브시스터즈] 쿠키런 IP 애니메이션 스토리보드 아티스트,"
, 스토리보드,  ",기획·전략
(주)원트리즈뮤직,경력무관,학력무관,경기 연천군,2022-05-28,2022-06-30,인턴직,꿀 인턴(주4일 출근 / 1일 6시간)(연천군),"
, 빅데이터, 편집디자인, 데이터분석, CS,  ",기획·전략
(주)아이엠소스,경력무관,학력무관,경기 구리시,2022-06-01,채용시,정규직,"온라인 MD 마케팅, 기획, 정규직 채용 - 경력무관","
, 온라인MD, 오픈마켓, 팝업스토어관리, 마케팅, 기획,  외            ",기획·전략
(주)에스아이알소프트,신입 · 경력,학력무관,서울 강남구,2022-04-30,채용시,정규직 · 계약직,"웹/앱 개발자, 기획자, 디자이너, 퍼블리셔 신입/경력 채용","
, 백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드,  외            ",기획·전략
(주)트랜스코스모스코리아,경력 5년↑,학력무관,서울 영등포구,2022-05-19,2022-06-17,정규직,[TCK] 당사 ITO사업본부 IT기획 경력자 모집 (여의도) Mt2F,"
, SI개발, 기술영업, 영업관리, 영업지원, 네트워크영업,  외            ",기획·전략
(주)트랜스코스모스코리아,경력 5년↑,학력무관,서울 영등포구,2022-06-02,2022-06-17,정규직,[트랜스코스모스 ITO사업본부 IT기획 경력자 모집 (여의도)Mt2F,"
, SI개발, 기술영업, 영업관리, 영업지원, 네트워크영업,  외            ",기획·전략
LSCS 그룹,경력 2년↑,학력무관,대구 중구,2022-05-26,2022-06-25,정규직 · 파트,[홍보마케팅팀] 브랜드 홍보/마케팅기획업무 직원 모집,"
, 팝업스토어관리, SNS, 마케팅기획, 블로그마케팅, 인플루언서마케팅,  외            ",기획·전략
데브시스터즈(주),경력무관,학력무관,서울 강남구,2022-06-04,채용시,정규직,[데브시스터즈] 쿠키런 IP 애니메이션 스토리보드 아티스트,"
, 스토리보드,  ",기획·전략
(주)원트리즈뮤직,경력무관,학력무관,경기 연천군,2022-05-28,2022-06-30,인턴직,꿀 인턴(주4일 출근 / 1일 6시간)(연천군),"
, 빅데이터, 편집디자인, 데이터분석, CS,  ",기획·전략
(주)아이엠소스,경력무관,학력무관,경기 구리시,2022-06-01,채용시,정규직,"온라인 MD 마케팅, 기획, 정규직 채용 - 경력무관","
, 온라인MD, 오픈마켓, 팝업스토어관리, 마케팅, 기획,  외            ",기획·전략
(주)타임게이트,신입 · 경력,대학교(4년) 이상,서울 성동구,2022-06-09,2022-07-08,정규직,[타임게이트] R&D 정부과제 사업비 담당자 & 사업관리 채용,"
, 사무직, 기술사업화, 문서작성, 서류관리, 자료조사,  외            ",기획·전략
기린성형외과의원,경력무관,학력무관,서울 서초구,2022-05-26,2022-07-10,정규직 · 아르바이트,[신입우대/왕초보환영] 성형외과 영어 해외팀 모집,"
, 병원코디네이터, 상담실장, 원무, 접수/예약, 성형외과,  외            ",기획·전략
(주)안테나,신입 · 경력,고졸 이상,서울 마포구,2022-06-04,2022-06-12,정규직,[사회적기업 안테나] 문화기획 분야 팀원 채용,"
, 커뮤니티매니저, 콘텐츠기획, 교육기획, 문화기획, 사업기획,  외            ",기획·전략
(주)원트리즈뮤직,경력무관,학력무관,경기 양평군,2022-05-28,2022-07-26,인턴직,꿀 인턴(주4일 출근 / 1일 6시간)(양평군),"
, 빅데이터, 편집디자인, 데이터분석, CS,  ",기획·전략
네오뉴트라(주),경력무관,대학교(4년) 이상,서울 종로구,2022-06-08,2022-06-15,정규직,[네오뉴트라(주)] 임상통계 DM(Data Management) 정규직채용,"
, 데이터분석가, SAS, 약사, 한약사, CRA(임상연구원),  외            ",기획·전략
(주)러닝스푼즈,신입 · 경력,대학교(4년) 이상,서울 강남구,2022-05-25,2022-07-09,정규직 · 인턴직,에듀테크 스타트업 : 데이터 사이언스 교육 콘텐츠 기획 PM,"
, 데이터분석가, 딥러닝, 머신러닝, 빅데이터, AI(인공지능),  외            ",기획·전략
교육지대(주),신입 · 경력,대학교(4년) 이상,서울 구로구,2022-05-27,2022-06-26,정규직 · 계약직,[교육지대] 족보닷컴 중고등 온라인 콘텐츠 기획 및 개발,"
, 교육기획, 학원강사, 교육컨텐츠개발, 교육컨텐츠기획, 온라인교육,  외            ",기획·전략
에스엠하이플러스(주),신입 · 경력,학력무관,서울 강서구,2022-06-09,2022-06-14,정규직,[SM하이플러스] 각 부문별 경력 채용,"
, 기술지원, 웹개발, 아키텍쳐, Java, Linux,  외            ",기획·전략
주식회사 숏컷크리에이티브,신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022-05-19,2022-06-23,정규직 · 인턴직,광고회사 디자이너(신입 및 경력) 모집/ 디지털콘텐츠,"
, 마케팅기획, 마케팅전략, 광고마케팅, 글로벌마케팅, 디지털마케팅,  외            ",기획·전략
(주)맨파워그룹코리아,경력무관,대학교(4년) 이상,경기 하남시,2022-05-17,2022-06-15,계약직,[하남/신입가능]외국계 의료장비 기업 Marketing Assistant 채용,"
, 마케팅기획, 마케팅전략, 광고마케팅, 글로벌마케팅, 디지털마케팅,  외            ",기획·전략
(주)솔라테크,경력 10년↑,"대학(2,3년) 이상",경기 광명시,2022-05-19,2022-07-17,정규직,관리팀장 정규직 모집(경력),"
, 영업관리, 영업지원, 경영관리,  ",기획·전략
LSCS 그룹,경력무관,학력무관,대구 중구,2022-06-08,2022-07-07,정규직,웹디자인 및 쇼핑몰 운영 팀원 모집합니다.,"
, 온라인판매, 쇼핑몰관리, CAD, 상품관리, 소셜커머스,  외            ",기획·전략
(주)트랜스코스모스코리아,경력 1년↑,학력무관,부산 중구,2022-06-03,2022-06-17,정규직,"[서울/부산] SNS 영상모니터링센터 운영관리 (TL,QA) 채용 MQf6","
, 사무직, 교육행정, 사무보조, 서류관리, 자료입력,  외            ",기획·전략
(주)더코더,경력 5년↑,"대학(2,3년) 이상",경기 고양시 덕양구,2022-05-31,채용시,정규직,"앱, 웹 서비스 기획자를 모집합니다","
, 웹디자인, UI/UX디자인, Figma, XD, 상품기획,  외            ",기획·전략
비브이에스㈜,신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022-04-27,2022-06-24,정규직,BVS 기획실 기획자 신입 및 경력자 모집,"
, 앱기획, 웹기획, 스토리보드, UI/UX, 광고기획,  외            ",기획·전략
엘로드,경력 2년↑,학력무관,대구 중구,2022-05-26,2022-06-25,정규직,[홍보마케팅팀] 브랜드 홍보 / 마케팅기획 업무 직원 모집,"
, 사이트관리, 콘텐츠관리, CS관리, SNS, 마케팅기획,  외            ",기획·전략
좋은일자리센터,신입 · 경력,학력무관,서울 금천구,2022-05-17,채용시,정규직 · 계약직,[파트타임(하루 4시간)] [재택/근무]인바운드 상담 (서울/금천),"
, 사무직, 안내데스크, 총무, 문서작성, 사무보조,  외            ",기획·전략
뉴지랩파마 주식회사,경력 3년↑,대학교(4년) 이상,서울 강남구,2022-05-27,2022-07-25,정규직,IR Manager 과-부장급 채용(삼성중앙역 근무),"
, IR/공시, 경영기획, 사업기획, 주식영업,  ",기획·전략
뉴지랩파마 주식회사,경력 3년↑,대학교(4년) 이상,서울 강남구,2022-05-27,2022-07-25,정규직,경영기획 과-부장급 채용(삼성중앙역 근무),"
, IR/공시, 경영기획, 사업기획, 주식영업,  ",기획·전략
