main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
비즈니스컨설팅,사업계획서·투자제안서,사업계획서 컨설팅,1097,406,450000,500000,1000000,914,"예창,초창,디딤돌 등 다양한 정부지원 사업계획서 컨설팅 드립니다.",TEO74,https://kmong.com/gig/63157
비즈니스컨설팅,쇼핑몰·스토어 창업,쇼핑몰·스토어 컨설팅,405,139,149000,399000,549000,580,스마트스토어 3개월만에 매출 1억 달성한 모든 노하우를 드립니다.,조MD,https://kmong.com/gig/234880
비즈니스컨설팅,사업계획서·투자제안서,투자제안서 컨설팅,1097,219,400000,600000,800000,537,"IR·투자제안서 ""VC, 엔젤, 개인"" 컨설팅해 드립니다.",TEO74,https://kmong.com/gig/122794
비즈니스컨설팅,사업계획서·투자제안서,투자제안서 컨설팅,104,44,1500000,2500000,5000000,167,10년 실전사업 노하우 투자제안서  아웃풋 확실 드립니다.,Jo피디,https://kmong.com/gig/152138
비즈니스컨설팅,크라우드펀딩,-,241,59,990000,2800000,5500000,572,소셜커머스 출신들이 '크라우드 펀딩' 컨텐츠 제작해 드립니다.,비티와이,https://kmong.com/gig/166099
비즈니스컨설팅,퍼스널 브랜딩,-,241,192,1000000,가격 없음,가격 없음,800,몸 값을 수직상승 시키는 퍼스널브랜드 전략 코칭해 드립니다.,국내1호개인브랜드매니저,https://kmong.com/gig/41808
비즈니스컨설팅,창업 컨설팅,카페·요식업 창업,50,34,798000,898000,2998000,114,배달의민족 깃발없이 배달 매출마진 올렸던 노하우 알려 드립니다.,갈마송충이,https://kmong.com/gig/311169
비즈니스컨설팅,쇼핑몰·스토어 창업,쇼핑몰·스토어 컨설팅,196,190,498000,698000,898000,716,투잡 사업 스마트스토어 40억 매출 노하우를 전수해 드립니다.,나물청년,https://kmong.com/gig/142599
비즈니스컨설팅,쇼핑몰·스토어 창업,쇼핑몰·스토어 컨설팅,153,51,390000,650000,890000,242,아마존 FBA PL 셀러 가입부터 판매까지 컨설팅해 드립니다.,케이존,https://kmong.com/gig/234711
비즈니스컨설팅,쇼핑몰·스토어 창업,쇼핑몰·스토어 컨설팅,1073,23,700000,1200000,3600000,213,스마트스토어 2달 2제품으로 매출 3천냈던 노하우 알려 드립니다.,DT,https://kmong.com/gig/292497
비즈니스컨설팅,크라우드펀딩,-,644,26,660000,990000,1300000,262,"와디즈 크라우드펀딩, 펀딩메이트가 시작부터 끝까지 도와 드립니다.",지니클라우드,https://kmong.com/gig/165454
비즈니스컨설팅,유튜브 컨설팅,-,38,22,440000,660000,880000,79,유튜브컨설팅ㅣ채널이 성장하지 못하는 이유 드립니다.,마스몬스터,https://kmong.com/gig/189104
비즈니스컨설팅,해외사업 컨설팅,-,193,70,100000,260000,420000,200,아마존 라쿠텐 라자다 쇼피 큐텐 이베이 알리바바 자문해 드립니다.,알파긱스,https://kmong.com/gig/117315
비즈니스컨설팅,사업계획서·투자제안서,사업계획서 컨설팅,59,13,550000,2200000,3300000,154,스타트업 IR 프로듀싱 지원해 드립니다.,Sensible,https://kmong.com/gig/61559
비즈니스컨설팅,리서치·설문조사,마케팅 리서치,22,14,300000,520000,1500000,55,25년 조사쟁이가 리서치를 통한 비즈니스 솔루션을 제안해 드립니다.,퀄리테이터,https://kmong.com/gig/152747
비즈니스컨설팅,창업 컨설팅,중소기업 컨설팅,129,10,10000,600000,3000000,74,벤처인증 전문 컨설팅 드립니다.,전문컨설턴트,https://kmong.com/gig/100310
비즈니스컨설팅,퍼스널 브랜딩,-,104,3,550000,940000,1350000,108,90만 팔로워 운영자가 알려주는 인스타 비지니스 노하우 드립니다.,브랜든조,https://kmong.com/gig/266695
