main,middle,type,career,education,region,title,company,deadline,notice
미디어·문화·스포츠,"
, 백엔드/서버개발, 정보보안, 프론트엔드, SE(시스템엔지니어), 네트워크,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 강남구,2022년 각 부문별 신입/경력 채용(대구 및 서울),주식회사 리만코리아,2022-06-13,2022-05-11
미디어·문화·스포츠,"
, 기술영업, 영업관리, 광고영업, 영업전략, AE(광고기획자),  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 마포구,"2022년 skyTV 경력사원 채용 (광고기획, 광고영업)",(주)스카이라이프티브이,2022-06-18,2022-06-02
미디어·문화·스포츠,"
, 매장매니저, 조리사, 카페매니저, 홀매니저, 홀서빙,  외            ",정규직,신입 · 경력,학력무관,경기 가평군,(주)다함레저 [썬힐골프클럽] 부문별 채용,(주)다함레저,2022-06-20,2022-06-08
미디어·문화·스포츠,"
, 관광가이드, 관광통역안내사, 지상직, 호텔리어, 고객안내,  외            ",정규직,경력무관,"대학(2,3년) 이상",서울 강서구,[어학조건없음/급여인상]대한항공 예약발권 전문상담 채용Kz7H,(주)트랜스코스모스코리아,2022-06-29,2022-06-08
미디어·문화·스포츠,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 영등포구,2022 상반기 퀸텟시스템즈 공개채용,(주)퀸텟시스템즈,2022-06-30,2022-06-08
미디어·문화·스포츠,"
, 기술사업화, 문서작성, 자료입력, 자료조사, 거래처관리,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",부산 해운대구,2022 온라인쇼핑몰 가나스윔 직원 채용,(주)가나,2022-06-15,2022-06-08
미디어·문화·스포츠,"
, 판매직, 영업판촉, 해외영업, 고객관리, 매장관리,  외            ",정규직,신입 · 경력,학력무관,서울 중구,서울 면세점 안내/멤버십데스크 정규직 채용,(주)유니에스,2022-06-17,2022-06-08
미디어·문화·스포츠,"
, 스크립터, 에디터, 유튜브, SNS마케팅, 콘텐츠에디터,  외            ",정규직,신입 · 경력,대학교(4년) 이상,제주 제주시,통합커뮤니케이션 마케팅에디터 / AE 채용,(주)하쿠다,2022-07-08,2022-06-08
미디어·문화·스포츠,"
, 퍼블리셔, 영상처리, 기업회계, 세무회계, 재무회계,  외            ",정규직,신입 · 경력,학력무관,서울 강남구,"[eum creative] 부서별 모집(디자인,영상,패션디자이너,마케팅,재무회계,기획)",(주)이움크리에이티브,2022-06-30,2022-06-09
미디어·문화·스포츠,"
, 영상제작, 영상편집, 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",정규직,경력무관,대학교(4년) 이상,서울 강서구,[DNA Motors/서울] PR마케팅 및 온라인 채널 운영 담당자 채용,디앤에이모터스(주),2022-06-26,2022-06-08
미디어·문화·스포츠,"
, 통/번역, 영어,  ",인턴직,경력무관,고졸 이상,서울 서초구,QA 업무지원 인턴 모집 (통번역),(주)소니인터랙티브엔터테인먼트코리아,2022-06-19,2022-06-08
미디어·문화·스포츠,"
, 자사몰관리, 촬영, 광고디자인, 디지털디자인, 시각디자인,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 강남구,웹디자이너 경력직원 채용,삼우생명과학(주),2022-06-15,2022-06-09
미디어·문화·스포츠,"
, 사무직, 사무보조, 영상편집, 촬영, 유튜브,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 송파구,각 부문별(마케팅/사무직/영상) 신입 및 경력 채용,리스펙트마케팅,2022-06-18,2022-06-09
미디어·문화·스포츠,"
, 경리, 4대보험, 급여(Payroll), 법인결산, 회계결산,  외            ",정규직,경력무관,고졸 이상,서울 강남구,하우스웨딩홀 예약실업무 인재를 모십니다.,(주)토브헤세드,2022-07-06,2022-06-07
미디어·문화·스포츠,"
, 영상처리, 전산회계, IR/공시, 4대보험, 급여(Payroll),  외            ",정규직,경력,고졸 이상,전남 강진군,2022년 각 부문별 상반기 채용,(주)로우카본,2022-06-13,2022-05-11
미디어·문화·스포츠,"
, 데이터분석가, 머신러닝, 빅데이터, FPGA, H/W,  외            ",정규직,신입 · 경력,학력무관,경기 안양시 동안구,"[㈜동아엘텍] 연구소(SW개발, HW개발, 기구설계) 신입/경력 채용",(주)동아엘텍,2022-06-27,2022-06-02
미디어·문화·스포츠,"
, 무대제작, 콘서트, 무대디자인, 전시디자인, 방송미술,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 고양시 일산동구,방송 공연 무대 디자이너 신입/경력직원 모집,(주)지엠엠,2022-06-19,2022-06-10
미디어·문화·스포츠,"
, 총무, 내방객응대, 비품관리, 사내행사, 시설관리,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,"각 부문 신입, 경력 모집 (광고기획, 디자이너, 총무)",(주)석정애드써밋,2022-06-19,2022-06-10
미디어·문화·스포츠,"
, 통/번역, 영상편집, 인제스트/인코딩, 일본어, 제2외국어,  외            ",계약직 · 파견직,경력무관,학력무관,서울 마포구,(상암동) KBS미디어 일본어 번역 및 마케팅 지원,(주)에이치알비젼,2022-06-21,2022-06-08
미디어·문화·스포츠,"
, 기자, 리포터, 교열, 신문,  ",정규직,경력무관,대학교(4년) 이상,서울 영등포구,아시아투데이 각 부문별 경력 기자 모집,아시아투데이,채용시,2022-06-09
미디어·문화·스포츠,"
, 사무직, 서류관리, 통/번역, 영어,  ",계약직 · 파견직,경력 3년 이상,대학교(4년) 이상,서울 영등포구,[서울/경력직] 한국거래소 해외사업부 영문에디터 파견채용,(주)에스앤비휴먼,2022-06-17,2022-06-10
미디어·문화·스포츠,"
, 영상디자이너, 영상제작, 영상편집, 공간디자인, 광고디자인,  외            ",계약직 · 파견직,경력무관,학력무관,서울 마포구,[마포구/방송국] YTN - 디자인센터 CG 디자이너 모집,아산맨파워(주),2022-06-16,2022-05-20
미디어·문화·스포츠,"
, 기자, 에디터, 영상디자이너, 촬영감독, 영화미술,  외            ",계약직,경력무관,학력무관,서울 마포구,[KBS미디어/상암동/심야격일] 영상편집 담당자 채용,인트로맨(주),2022-06-15,2022-06-10
미디어·문화·스포츠,"
, 병원코디네이터, 영어,  ",정규직,경력무관,학력무관,서울 강남구,[클리니크후즈후] 영어마케팅 및 코디네이터 모집합니다.,클리니크후즈후의원,2022-06-30,2022-05-23
미디어·문화·스포츠,"
, 4대보험, 급여(Payroll), 내부감사, 부가세신고, 손익관리,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,경력직(MD/디자인/마케팅/고객만족/재무회계)채용,(주)아르케인터내셔날,2022-06-23,2022-05-31
미디어·문화·스포츠,"
, 앱개발, 정보보안, DBA, IT컨설팅, SE(시스템엔지니어),  외            ",정규직,경력,"대학(2,3년) 이상",서울 송파구,각 부문별 경력사원 모집,데상트코리아(주),2022-06-30,2022-05-31
미디어·문화·스포츠,"
, PD/AD/FD, 영상제작, 영상편집, 유튜브,  ",정규직 · 프리랜서,경력무관,학력무관,경기 성남시 중원구,"종편감독, 연출, 및 조연출 모집합니다.",(주)베터이앤아이,2022-07-07,2022-06-08
미디어·문화·스포츠,"
, 채용담당자, 인사기획, 인사행정, 영업관리, 영업지원,  외            ",정규직,경력 1년 이상,학력무관,서울 강남구,[화장품] FEMMUE(파뮤) 부문별 경력사원 채용,(주)파뮤,2022-07-02,2022-05-04
미디어·문화·스포츠,"
, 크리에이터, 뉴미디어, 유튜브,  ",정규직,경력 1년 이상,학력무관,서울 강동구,교육 예능 채널 유튜브 콘텐츠 PD 모집 (경력/정규직),오버랩픽쳐스,2022-07-07,2022-06-07
미디어·문화·스포츠,"
, 기술지원, 사무직, 비품관리, 사무보조, 사무행정,  외            ",정규직,경력무관,학력무관,서울 성동구,"웹디자이너, 영상/음향/조명/그립장비 영업 및 기술직원 채용",에이브이엑스(주),2022-07-22,2022-05-23
