main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
마케팅,SNS 마케팅,채널운영대행,1773,413,600000,1100000,2000000,2201,인스타그램 유령이 많아서 발끈한 명문대생이 관리해 드립니다.,고양으로,https://kmong.com/gig/218875
마케팅,개인 인플루언서,개인 인스타그래머,,0,1800000,3000000,4200000,1,숏폼 리뷰 전문가가 매력적인 광고 영상을 만들어 드립니다.,굥아님,https://kmong.com/gig/390036
마케팅,블로그 마케팅,관리대행,1813,163,375000,495000,880000,411,PREMIUM 실력으로 핫한 블로그관리 서비스를 제공해 드립니다.,디에이기획주식회사,https://kmong.com/gig/161740
마케팅,블로그 마케팅,블로그 포스팅,2152,1212,88000,110000,132000,506,블로그 배포 모든 포스팅 직접 작성 관련도 반영해 드립니다.,ADCO,https://kmong.com/gig/94742
마케팅,블로그 마케팅,관리대행,1236,520,770000,1100000,2640000,1112,병원전문 블로그관리 전문마케팅 기획 관리해 드립니다.,하룹,https://kmong.com/gig/41329
마케팅,블로그 마케팅,관리대행,875,372,440000,550000,605000,1333,"블로그 관리운영,최적화 블로그 만들어 드립니다.",큰손컴퍼니,https://kmong.com/gig/60223
마케팅,카페 마케팅,카페 포스팅,1007,648,220000,1100000,3300000,392,핫딜 바이럴 마케팅 전문팀이 확실하게 진행해 드립니다.,킨다그로스,https://kmong.com/gig/194500
마케팅,SNS 마케팅,스폰서광고대행,1073,463,75000,120000,500000,1314,월6억 광고비 집행하는 마케터가 페이스북 인스타 광고해 드립니다.,DT,https://kmong.com/gig/195065
마케팅,블로그 마케팅,관리대행,981,251,240000,490000,790000,541,블로그관리 브랜드블로그 맞춤형 관리해 드립니다.,가온마케팅,https://kmong.com/gig/112292
마케팅,언론홍보,-,1148,770,120000,330000,550000,650,인터넷뉴스 언론홍보 보도자료 원고작성무료 신속히 진행해 드립니다.,에이스이슈,https://kmong.com/gig/77838
마케팅,검색최적화·SEO,백링크 관리,36252,525,75000,150000,375000,456,"백링크""크몽어워즈""SEO 기사형 백링크를 드립니다.",GREENWINGS,https://kmong.com/gig/167816
마케팅,카페 마케팅,관리대행,831,108,900000,1100000,1900000,322,대표카페 운영 13년차 경력자가 카페운영 직접 관리해 드립니다.,경영컨설턴트조종우K9,https://kmong.com/gig/156925
마케팅,언론홍보,-,1802,1498,88000,165000,440000,847,포털 사이트에 신속 정확한 기사 노출해 드립니다.,마이스터,https://kmong.com/gig/99651
마케팅,블로그 마케팅,관리대행,981,152,240000,490000,790000,163,병원 한의원 브랜드블로그 관리 도와 드립니다.,가온마케팅,https://kmong.com/gig/133206
마케팅,SNS 마케팅,채널운영대행,644,47,570000,670000,1176000,424,"페이스북, 인스타그램 SNS 운영 관리대행 진행해 드립니다.",지니클라우드,https://kmong.com/gig/153363
마케팅,SNS 마케팅,스폰서광고대행,1750,225,264000,528000,2376000,349,"키워드기반 초정밀 타겟팅 인스타,페이스북 스폰서드광고해 드립니다.",harasister,https://kmong.com/gig/166787
마케팅,SNS 마케팅,스폰서광고대행,974,202,499000,가격 없음,가격 없음,413,"""효과만점"" 구글 유튜브 타겟광고 대행해 드립니다.",너드마케팅,https://kmong.com/gig/27051
마케팅,쇼핑몰·스토어,쇼핑태그설치,974,58,369000,가격 없음,가격 없음,126,인스타그램 쇼핑태그 #SHOP '한방에 승인' 드립니다.,너드마케팅,https://kmong.com/gig/277893
마케팅,라이브커머스,-,95,48,870000,1090000,1100000,276,라이브커머스 처음부터 끝까지 대행해 드립니다.,원아워대표쇼호스트차준수,https://kmong.com/gig/267997
마케팅,언론홍보,-,1831,1381,120000,200000,550000,995,브랜드마케팅 보도자료 작성 및 송출 진행시켜 드립니다.,상위강탈자,https://kmong.com/gig/59792
마케팅,해외마케팅,-,10717,51,400000,800000,1200000,164,전세계 영어권 국가 내 언론에 500개 언론뉴스 보도해 드립니다.,마케롱,https://kmong.com/gig/119094
마케팅,개인 인플루언서,개인 블로거,135,110,50000,가격 없음,가격 없음,158,일방문자 5천 이상 검증된 개인블로그에 포스팅해 드립니다.,집돌이혁이,https://kmong.com/gig/347550
마케팅,SNS 마케팅,스폰서광고대행,974,79,499000,가격 없음,가격 없음,369,"""효과만점"" 페이스북 인스타그램 타겟광고 대행해 드립니다.",너드마케팅,https://kmong.com/gig/223339
마케팅,검색최적화·SEO,백링크 관리,4750,94,89000,159000,318000,143,포털 검색엔진 최적화 SEO를 위한 백링크 월관리 작업 드립니다.,헤븐먼데이,https://kmong.com/gig/259418
마케팅,검색최적화·SEO,검색엔진 등록·최적화,467,294,28000,60000,85000,742,검색엔진최적화 SEO 웹사이트 쇼핑몰 최적화 검색등록 드립니다.,검색엔진최적화전문가,https://kmong.com/gig/93732
마케팅,블로그 마케팅,노하우·솔루션,344,329,1000000,가격 없음,가격 없음,479,애드센스 극대화 노하우를 전수해 드립니다.,DIGOPRADA,https://kmong.com/gig/122249
마케팅,체험단·기자단 대행,인스타그램,57,22,15000,200000,300000,650,비주얼 보장 찐 인플루언서 마케팅을 진행해 드립니다.,몽플루언서,https://kmong.com/gig/116753
마케팅,체험단·기자단 대행,블로그,21103,138,40000,70000,150000,227,배송형 프리미엄 블로그 체험단 진행해 드립니다.,링블체험단,https://kmong.com/gig/231592
마케팅,쇼핑몰·스토어,쇼핑태그설치,557,42,250000,가격 없음,가격 없음,76,"페이스북, 인스타그램SHOP 쇼핑태그,제품 태그해 드립니다.",안녕마케팅,https://kmong.com/gig/308309
마케팅,개인 인플루언서,개인 인스타그래머,33,20,100000,150000,200000,67,인스타그램 틱톡 개인계정에서 정성스런 홍보해 드립니다.,마리야91,https://kmong.com/gig/329224
마케팅,검색최적화·SEO,검색엔진 등록·최적화,1012,116,100000,가격 없음,가격 없음,236,쇼핑몰과 웹사이트 검색엔진 최적화 SEO 설정해 드립니다.,JGO,https://kmong.com/gig/215478
마케팅,블로그 마케팅,관리대행,543,266,220000,440000,600000,849,막막한 블로그 브랜드 블로그관리 맞춤형으로 도와 드립니다.,어필로그,https://kmong.com/gig/67996
마케팅,해외마케팅,-,43,27,249000,가격 없음,가격 없음,114,200개 국제 보도 자료 사이트 영어 보도 자료 배포해 드립니다.,mwhc00,https://kmong.com/gig/96757
마케팅,개인 인플루언서,개인 유튜버,42,11,700000,900000,1050000,51,생활용품 전문 리뷰 유튜버가 리뷰 영상을 제작해 드립니다.,생활리뷰싹피디,https://kmong.com/gig/221872
마케팅,종합광고대행,종합광고대행,13,13,1100000,3300000,11000000,124,고객 니즈에 맞는 애자일한 마케팅솔루션을 제공해 드립니다.,퍼플시드,https://kmong.com/gig/166598
마케팅,검색최적화·SEO,검색엔진 등록·최적화,110,3,800000,1500000,2500000,47,검색엔진최적화 SEO 전문 최적화 작업 진행해 드립니다.,글로벌마케팅컨설턴트,https://kmong.com/gig/283323
마케팅,SNS 마케팅,채널운영대행,1773,413,600000,1100000,2000000,2201,인스타그램 유령이 많아서 발끈한 명문대생이 관리해 드립니다.,고양으로,https://kmong.com/gig/218875
마케팅,개인 인플루언서,개인 인스타그래머,,0,1800000,3000000,4200000,1,숏폼 리뷰 전문가가 매력적인 광고 영상을 만들어 드립니다.,굥아님,https://kmong.com/gig/390036
마케팅,블로그 마케팅,관리대행,1813,163,375000,495000,880000,411,PREMIUM 실력으로 핫한 블로그관리 서비스를 제공해 드립니다.,디에이기획주식회사,https://kmong.com/gig/161740
